"Month","Average monthly temperatures across the world"
"1938-04",15.3
"1938-05",20.8
"1938-06",25.1
"1938-07",27.7
"1938-08",29.4
"1938-09",23.1
"1938-10",20.6
"1938-11",9.4
"1938-12",5.4
"1939-01",7.0
"1939-02",3.5
"1939-03",12.0
"1939-04",15.3
"1939-05",21.9
"1939-06",25.6
"1939-07",29.2
"1939-08",27.9
"1939-09",26.4
"1939-10",19.1
"1939-11",9.6
"1939-12",7.4
"1940-01",?4.3
"1940-02",4.4
"1940-03",10.9
"1940-04",15.3
"1940-05",20.3
"1940-06",24.1
"1940-07",26.8
"1940-08",26.1
"1940-09",22.6
"1940-10",19.4
"1940-11",7.1
"1940-12",5.8
"1941-01",4.9
"1941-02",4.4
"1941-03",7.8
"1941-04",15.8
"1941-05",21.8
"1941-06",24.1
"1941-07",28.0
"1941-08",27.8
"1941-09",23.9
"1941-10",17.6
"1941-11",9.6
"1941-12",6.6
"1942-01",2.8
"1942-02",4.5
"1942-03",10.0
"1942-04",16.8
"1942-05",19.9
"1942-06",25.0
"1942-07",27.8
"1942-08",26.9
"1942-09",21.2
"1942-10",16.5
"1942-11",10.8
"1942-12",4.6
"1943-01",2.8
"1943-02",7.7
"1943-03",7.0
"1943-04",17.8
"1943-05",18.5
"1943-06",26.5
"1943-07",29.4
"1943-08",30.7
"1943-09",23.3
"1943-10",16.0
"1943-11",9.7
"1943-12",2.6
"1944-01",3.8
"1944-02",6.9
"1944-03",8.2
"1944-04",14.4
"1944-05",20.7
"1944-06",26.3
"1944-07",28.0
"1944-08",28.2
"1944-09",22.8
"1944-10",18.0
"1944-11",10.9
"1944-12",2.8
"1945-01",3.9
"1945-02",4.7
"1945-03",12.7
"1945-04",14.1
"1945-05",19.1
"1945-06",23.6
"1945-07",26.4
"1945-08",26.8
"1945-09",22.6
"1945-10",16.4
"1945-11",11.8
"1945-12",1.7
"1946-01",3.7
"1946-02",8.4
"1946-03",13.6
"1946-04",18.3
"1946-05",18.8
"1946-06",24.6
"1946-07",28.7
"1946-08",27.9
"1946-09",22.3
"1946-10",18.0
"1946-11",9.9
"1946-12",7.1
"1947-01",3.1
"1947-02",2.8
"1947-03",7.3
"1947-04",14.4
"1947-05",19.0
"1947-06",24.9
"1947-07",26.3
"1947-08",28.8
"1947-09",25.0
"1947-10",20.7
"1947-11",7.6
"1947-12",5.2
"1948-01",?0.1
"1948-02",3.1
"1948-03",6.6
"1948-04",19.2
"1948-05",20.4
"1948-06",25.6
"1948-07",26.9
"1948-08",26.9
"1948-09",23.8
"1948-10",16.6
"1948-11",8.7
"1948-12",6.0
"1949-01",?1.3
"1949-02",4.1
"1949-03",9.7
"1949-04",14.8
"1949-05",21.3
"1949-06",25.3
"1949-07",27.9
"1949-08",25.8
"1949-09",20.8
"1949-10",16.4
"1949-11",12.4
"1949-12",5.3
"1950-01",3.0
"1950-02",7.4
"1950-03",9.0
"1950-04",14.7
"1950-05",20.2
"1950-06",24.4
"1950-07",24.5
"1950-08",24.6
"1950-09",21.6
"1950-10",19.6
"1950-11",8.2
"1950-12",3.9
"1951-01",3.8
"1951-02",5.3
"1951-03",8.6
"1951-04",13.9
"1951-05",19.6
"1951-06",24.0
"1951-07",27.5
"1951-08",29.0
"1951-09",22.7
"1951-10",16.7
"1951-11",6.3
"1951-12",5.1
"1952-01",6.8
"1952-02",7.6
"1952-03",8.5
"1952-04",13.6
"1952-05",20.2
"1952-06",27.5
"1952-07",27.3
"1952-08",29.4
"1952-09",23.8
"1952-10",15.7
"1952-11",8.9
"1952-12",3.9
"1953-01",6.0
"1953-02",6.6
"1953-03",12.4
"1953-04",13.3
"1953-05",20.1
"1953-06",29.1
"1953-07",26.1
"1953-08",26.1
"1953-09",24.4
"1953-10",17.6
"1953-11",9.8
"1953-12",4.1
"1954-01",3.3
"1954-02",10.7
"1954-03",8.6
"1954-04",18.7
"1954-05",17.2
"1954-06",25.5
"1954-07",30.8
"1954-08",29.9
"1954-09",26.1
"1954-10",17.7
"1954-11",10.9
"1954-12",5.2
"1955-01",3.7
"1955-02",4.3
"1955-03",9.7
"1955-04",17.8
"1955-05",21.4
"1955-06",22.8
"1955-07",28.4
"1955-08",27.1
"1955-09",23.9
"1955-10",16.1
"1955-11",7.2
"1955-12",3.1
"1956-01",2.3
"1956-02",4.8
"1956-03",10.3
"1956-04",14.4
"1956-05",22.6
"1956-06",25.6
"1956-07",28.3
"1956-08",29.1
"1956-09",24.8
"1956-10",19.0
"1956-11",8.4
